guid,ttp
9dc7767b-30c1-4cc4-b999-50cab5e27891,T1547.001
bda6a3d6-7aa7-4e89-908b-306772e9662f,T1547.001
dade9447-791e-4c8f-b04b-3a35855dfa06,T1547.001
bf9f9d65-ee4d-4c3e-a843-777d04f19c38,T1547.004
d40da266-e073-4e5a-bb8b-2b385023e5f9,T1547.004
fb32c935-ee2e-454b-8fa3-1c46b42e8dfb,T1547.004
afdfd7e3-8a0b-409f-85f7-886fdf249c9e,T1547.005
ce4fc678-364f-4282-af16-2fb4c78005ce,T1547.009
cfdc954d-4bb0-4027-875b-a1893ce406f2,T1547.009
d34ef297-f178-4462-871e-9ce618d44e50,T1547.010
28104f8a-4ff1-4582-bcf6-699dce156608,T1548.002
3be891eb-4608-4173-87e8-78b494c029b7,T1548.002
3c51abf2-44bf-42d8-9111-dc96ff66750f,T1548.002
3f627297-6c38-4e7d-a278-fc2563eaaeaa,T1548.002
5073adf8-9a50-4bd9-b298-a9bd2ead8af9,T1548.002
9e8af564-53ec-407e-aaa8-3cb20c3af7f9,T1548.002
a6ce9acf-842a-4af6-8f79-539be7608e2b,T1548.002
f7a35090-6f7f-4f64-bb47-d657bf5b10c1,T1548.002
0e56bf29-ff49-4ea5-9af4-3b81283fd513,T1552.001
367d4004-5fc0-446d-823f-960c74ae52c3,T1552.001
af197fd7-e868-448e-9bd5-05d1bcd9d9e5,T1552.002
b6ec082c-7384-46b3-a111-9a9b8b14e5e7,T1552.002
520ce462-7ca7-441e-b5a5-f8347f632696,T1552.004
36753ded-e5c4-4eb5-bc3c-e8fba236878d,T1555
bc071188-459f-44d5-901a-f8f2625b2d2e,T1555
f543635c-1705-42c3-b180-efd6dc6e7ee7,T1555.003
9c2dd36d-5c8b-4b29-8d72-a11b0d5d7439,T1555.004
41410c60-614d-4b9d-b66e-b0192dd9c597,T1560
0b19f4ee-de90-4059-88cb-63c800c683ed,T1562.001
13f09b91-c953-438e-845b-b585e51cac9b,T1562.001
1b3e0146-a1e5-4c5c-89fb-1bb2ffe8fc45,T1562.001
315f4be6-2240-4552-b3e1-d1047f5eecea,T1562.001
5e27f36d-5132-4537-b43b-413b0d5eec9a,T1562.001
695eed40-e949-40e5-b306-b4031e4154bd,T1562.001
6f5fb61b-4e56-4a3d-a8c3-82e13686c6d7,T1562.001
871438ac-7d6e-432a-b27d-3e7db69faf58,T1562.001
9719d0e1-4fe0-4b2e-9a72-7ad3ee8ddc70,T1562.001
a1230893-56ac-4c81-b644-2108e982f8f5,T1562.001
a123ce6a-3916-45d6-ba9c-7d4081315c27,T1562.001
aa875ed4-8935-47e2-b2c5-6ec00ab220d2,T1562.001
ae753dda-0f15-4af6-a168-b9ba16143143,T1562.001
d6d22332-d07d-498f-aea0-6139ecb7850e,T1562.001
d8c57eaa-497a-4a08-961e-bd5efd7c9374,T1562.001
f542ffd3-37b4-4528-837f-682874faa012,T1562.001
5102a3a7-e2d7-4129-9e45-f483f2e0eea8,T1562.002
69435dcf-c66f-4ec0-a8b1-82beb76b34db,T1562.002
913c0e4e-4b37-4b78-ad0b-90e7b25010f6,T1562.002
b26a3340-dad7-4360-9176-706269c74103,T1562.002
15e57006-79dd-46df-9bf9-31bc24fb5a80,T1562.004
80b453d1-eec5-4144-bf08-613a6c3ffe12,T1562.004
9636dd6e-7599-40d2-8eee-ac16434f35ed,T1562.004
a4651931-ebbb-4cde-9363-ddf3d66214cb,T1562.004
afedc8c4-038c-4d82-b3e5-623a95f8a612,T1562.004
